time,gps_x,gps_y,ai_speed,navigation_x,navigation_y,position_error
0.02,0.0,0.0,5.6043823313248256,0.0,0.0,0.0
0.12,0.0,0.0,26.25977134538448,0.0,0.0,0.0
0.22,0.0,0.0,15.463018443622568,0.0,0.0,0.0
0.32,0.0,0.0,13.131432021514028,0.0,0.0,0.0
0.42,0.0,0.0,20.905371958490395,0.0,0.0,0.0
0.52,0.0,0.0,6.400146131250522,0.0,0.0,0.0
0.62,0.0,0.0,4.649513122488745,0.0,0.0,0.0
0.72,0.0,0.0,4.706790754067693,0.0,0.0,0.0
0.82,0.0,0.0,6.112612446820123,0.0,0.0,0.0
0.92,0.0,0.0,4.877329512917013,0.0,0.0,0.0
1.02,0.0,0.0,5.020511563898622,0.0,0.0,0.0
1.12,0.0,0.0,4.915985091481302,0.0,0.0,0.0
1.22,0.0,0.0,4.592282864504511,0.0,0.0,0.0
1.32,0.0,0.0,19.67688092478378,0.0,0.0,0.0
1.42,0.0,0.0,9.480140879751398,0.0,0.0,0.0
1.52,0.0,0.0,5.245658710715873,0.0,0.0,0.0
1.62,0.0,0.0,5.147666829291519,0.0,0.0,0.0
1.719,0.0,0.0,7.780714979019078,0.0,0.0,0.0
1.82,0.0,0.0,5.265050908313474,0.0,0.0,0.0
1.92,0.0,0.0,4.763572660357808,0.0,0.0,0.0
2.019,0.0,0.0,8.811803740241642,0.0,0.0,0.0
2.12,0.0,0.0,32.948288471734195,0.0,0.0,0.0
2.22,0.0,0.0,45.141487880740044,0.0,0.0,0.0
2.32,0.0,0.0,28.858346743167182,0.0,0.0,0.0
2.42,0.0,0.0,32.21329976454478,0.0,0.0,0.0
2.519,0.0,0.0,7.488141317321934,0.0,0.0,0.0
2.62,0.0,0.0,8.236822750070068,0.0,0.0,0.0
2.72,0.0,0.0,6.17715865209003,0.0,0.0,0.0
2.82,0.0,0.0,10.574830595758737,0.0,0.0,0.0
2.919,0.0,0.0,8.575257265819817,0.0,0.0,0.0
3.02,0.0,0.0,9.093721934252933,0.0,0.0,0.0
3.12,0.0,0.0,8.086424810285575,0.0,0.0,0.0
3.222,0.0,0.0,4.865162217585747,0.0,0.0,0.0
3.32,0.0,0.0,4.584616197837844,0.0,0.0,0.0
3.42,0.0,0.0,7.382422199954025,0.0,0.0,0.0
3.52,0.0,0.0,4.988337305378744,0.0,0.0,0.0
3.62,0.0,0.0,4.78585805631733,0.0,0.0,0.0
3.719,0.0,0.0,4.706790754067693,0.0,0.0,0.0
3.82,0.0,0.0,4.649513122488745,0.0,0.0,0.0
3.92,0.0,0.0,4.649513122488745,0.0,0.0,0.0
4.02,0.0,0.0,4.649513122488745,0.0,0.0,0.0
4.12,0.0,0.0,13.816272816438113,0.0,0.0,0.0
4.22,0.0,0.0,4.649513122488745,0.0,0.0,0.0
4.32,0.0,0.0,4.718507612387423,0.0,0.0,0.0
4.42,0.0,0.0,5.416031955232817,0.0,0.0,0.0
4.519,0.0,0.0,4.893648572459577,0.0,0.0,0.0
4.62,0.0,0.0,6.444279117189005,0.0,0.0,0.0
4.72,0.0,0.0,4.649513122488745,0.0,0.0,0.0
4.82,0.0,0.0,10.435515352518339,0.0,0.0,0.0
4.92,0.0,0.0,4.649513122488745,0.0,0.0,0.0
5.02,0.0,0.0,4.706790754067693,0.0,0.0,0.0
5.12,0.0,0.0,4.816191530766722,0.0,0.0,0.0
5.22,0.0,0.0,4.924190979815353,0.0,0.0,0.0
5.32,0.0,0.0,4.8436396233207715,0.0,0.0,0.0
5.42,0.0,0.0,4.784247795760549,0.0,0.0,0.0
5.52,0.0,0.0,4.706790754067693,0.0,0.0,0.0
5.619,0.0,0.0,4.758913899187774,0.0,0.0,0.0
5.72,0.0,0.0,5.223976832181133,0.0,0.0,0.0
5.82,0.0,0.0,4.706790754067693,0.0,0.0,0.0
5.92,0.0,0.0,8.964677593882492,0.0,0.0,0.0
6.02,0.0,0.0,10.804770177354646,0.0,0.0,0.0
6.12,0.0,0.0,7.803369360199197,0.0,0.0,0.0
6.22,0.0,0.0,4.706790754067693,0.0,0.0,0.0
6.32,0.0,0.0,4.816191530766722,0.0,0.0,0.0
6.42,0.0,0.0,5.177466895117736,0.0,0.0,0.0
6.52,0.0,0.0,4.7502379794351315,0.0,0.0,0.0
6.62,0.0,0.0,4.649513122488745,0.0,0.0,0.0
6.72,0.0,0.0,6.256281581922107,0.0,0.0,0.0
6.82,0.0,0.0,4.649513122488745,0.0,0.0,0.0
6.92,0.0,0.0,6.877113072205589,0.0,0.0,0.0
7.02,0.0,0.0,4.649513122488745,0.0,0.0,0.0
7.12,0.0,0.0,7.689895316809088,0.0,0.0,0.0
7.219,0.0,0.0,4.784247795760549,0.0,0.0,0.0
7.32,0.0,0.0,7.55877606881754,0.0,0.0,0.0
7.42,0.0,0.0,4.784247795760549,0.0,0.0,0.0
7.52,0.0,0.0,5.2606857419549184,0.0,0.0,0.0
7.62,0.0,0.0,6.003768609889416,0.0,0.0,0.0
7.72,0.0,0.0,11.150563974166452,0.0,0.0,0.0
7.82,0.0,0.0,19.866390762960826,0.0,0.0,0.0
7.921,0.0,0.0,23.927744124869136,0.0,0.0,0.0
8.021,0.0,0.0,21.608619718629917,0.0,0.0,0.0
8.12,0.0,0.0,13.484388089980515,0.0,0.0,0.0
8.221,0.0,0.0,16.41748906857829,0.0,0.0,0.0
8.32,0.0,0.0,10.881040007856623,0.0,0.0,0.0
8.42,0.0,0.0,8.334527636483761,0.0,0.0,0.0
8.52,0.0,0.0,4.649513122488745,0.0,0.0,0.0
8.62,0.0,0.0,10.201418473583228,0.0,0.0,0.0
8.72,0.0,0.0,20.24236912401269,0.0,0.0,0.0
8.819,0.0,0.0,4.820049207150543,0.0,0.0,0.0
8.92,0.0,0.0,10.064770610279107,0.0,0.0,0.0
9.02,0.0,0.0,5.6118400018940235,0.0,0.0,0.0
9.12,0.0,0.0,20.701668079367096,0.0,0.0,0.0
9.22,0.0,0.0,4.875321271805757,0.0,0.0,0.0
9.32,0.0,0.0,19.311422864634327,0.0,0.0,0.0
9.42,0.0,0.0,14.937780528512778,0.0,0.0,0.0
9.52,0.0,0.0,10.302911582610964,0.0,0.0,0.0
9.62,0.0,0.0,4.649513122488745,0.0,0.0,0.0
9.72,0.0,0.0,10.099500193140067,0.0,0.0,0.0
9.82,0.0,0.0,4.861656260020074,0.0,0.0,0.0
9.92,0.0,0.0,7.850381644042154,0.0,0.0,0.0
10.02,0.0,0.0,13.603447633848939,0.0,0.0,0.0
10.12,0.0,0.0,8.234568025080058,0.0,0.0,0.0
10.22,0.0,0.0,6.773032403915903,0.0,0.0,0.0
10.32,0.0,0.0,5.8549942359706835,0.0,0.0,0.0
10.42,0.0,0.0,4.706790754067693,0.0,0.0,0.0
10.52,0.0,0.0,20.252678756268107,0.0,0.0,0.0
10.62,0.0,0.0,4.915985091481302,0.0,0.0,0.0
10.719,0.0,0.0,7.751509240157171,0.0,0.0,0.0
10.82,0.0,0.0,10.191763248492045,0.0,0.0,0.0
10.92,0.0,0.0,7.644678220619569,0.0,0.0,0.0
11.02,0.0,0.0,5.20525708797758,0.0,0.0,0.0
11.12,0.0,0.0,11.035256191904962,0.0,0.0,0.0
11.22,0.0,0.0,17.880321590971363,0.0,0.0,0.0
11.32,0.0,0.0,20.166125935394938,0.0,0.0,0.0
